Name,Description,geometry
"FAT40-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.64718574043 34.6655263495307, 43.6482842656122 34.66608953762, 43.6484431525176 34.6657971909133, 43.6484701510817 34.6657631730233, 43.6495366389024 34.6662914658134, 43.6497282910253 34.6660119523661, 43.6476001249624 34.6649344601992, 43.64718574043 34.6655263495307))"
"FAT3-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.652439630318 34.6645494847006, 43.6527549412685 34.6647173409701, 43.6527828127112 34.6647250312325, 43.6531593902555 34.6649071896725, 43.653647396518 34.6642336479196, 43.6533015705854 34.6640189140426, 43.6531661509664 34.6642063919573, 43.6530925046825 34.6642947244504, 43.653028839669 34.6643875614385, 43.6530038352057 34.6643736302949, 43.6526970344454 34.6641914230841, 43.652439630318 34.6645494847006))"
"FAT4-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6535475581328 34.6630083034142, 43.6526970344454 34.6641914230841, 43.6530038352057 34.6643736302949, 43.6538668617383 34.6631796359366, 43.6535475581328 34.6630083034142))"
"FAT30-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.644022221156 34.6634694296474, 43.646121929091 34.6645453644364, 43.6463211377107 34.6642650616215, 43.6442263234297 34.6631876795206, 43.644022221156 34.6634694296474))"
"FAT37-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6454430065162 34.6624789268332, 43.6453496400998 34.6626096398161, 43.6468244139757 34.6633215196587, 43.6468014659275 34.6633547935152, 43.6466059440095 34.6636451652908, 43.6467265254345 34.6637110227514, 43.6471226222683 34.6631722460735, 43.6457041321562 34.6624106569517, 43.6456142069106 34.6625755199019, 43.6454430065162 34.6624789268332))"
"FAT35-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6431358474424 34.6611964439302, 43.6453544272512 34.6622872841926, 43.6452664898233 34.6624206981254, 43.6453842795046 34.6624868514813, 43.6456968899549 34.6620225330183, 43.6433352658447 34.6608835937312, 43.6431358474424 34.6611964439302))"
"FAT17-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6467498890699 34.6612862631714, 43.6474905384985 34.6602408179459, 43.6471584840217 34.6600713445183, 43.6462669384851 34.6613305302993, 43.6469140021885 34.661653212986, 43.6469726889228 34.661572636666, 43.6470530202862 34.6614633143844, 43.6467498890699 34.6612862631714))"
"FAT14-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6455266014307 34.6617490589541, 43.6458128967837 34.6618994323362, 43.6458338292854 34.6619245513383, 43.6459350220067 34.6619743445821, 43.6467818639047 34.6623910445637, 43.6469533467224 34.6620462960314, 43.6461867553695 34.6616254797019, 43.6461545665133 34.6616691637089, 43.6460705473466 34.6616051491057, 43.646041368495 34.6615775660144, 43.6462065044255 34.6613394858301, 43.6462356154819 34.6612991863786, 43.6459684646318 34.6611127190971, 43.6455266014307 34.6617490589541))"
"FAT12-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6461713429658 34.6601563812241, 43.6451573340321 34.6615665216164, 43.6455266014307 34.6617490589541, 43.6456183080021 34.661622748228, 43.6462243673127 34.6607399778411, 43.6466190779899 34.6601650524317, 43.646285823308 34.6599969552173, 43.6461713429658 34.6601563812241))"
"FAT13-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6462243673127 34.6607399778411, 43.6459684646318 34.6611127190971, 43.6462356154819 34.6612991863786, 43.6472153744031 34.6599192176676, 43.6465580938471 34.6596177896419, 43.646285823308 34.6599969552173, 43.6466190779899 34.6601650524317, 43.6462243673127 34.6607399778411))"
"FAT19-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6472022610453 34.6617839605529, 43.647252032033 34.6617192928761, 43.6473194604423 34.661752812201, 43.6481058676944 34.6606795471018, 43.648411363077 34.6608537241714, 43.6486070861638 34.6605974745823, 43.6479668883668 34.6602956769417, 43.6469485348971 34.6616693471203, 43.6472022610453 34.6617839605529))"
"FAT28-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6427107828968 34.662832352184, 43.6431063613802 34.6630274794482, 43.6431454426302 34.6630274794482, 43.6435423185704 34.6632324235812, 43.644312258592 34.662229065459, 43.6439214359321 34.6620344326602, 43.6438847964517 34.6620788420894, 43.6438268184272 34.662054317419, 43.6433777382721 34.6618406323586, 43.6427107828968 34.662832352184))"
"FAT27-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6427107828968 34.662832352184, 43.6433777382721 34.6618406323586, 43.6438268184272 34.662054317419, 43.6439025124551 34.6619506286905, 43.6429388703085 34.6614753955176, 43.6422260785113 34.6625932617263, 43.6427107828968 34.662832352184))"
"FAT31-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.644022221156 34.6634694296474, 43.6442263234297 34.6631876795206, 43.6463211377107 34.6642650616215, 43.6464925346443 34.6640238921226, 43.6442530178098 34.6628811488648, 43.6438548206371 34.6633841347671, 43.644022221156 34.6634694296474))"
"FAT29-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6435423185704 34.6632324235812, 43.6438265729882 34.6633792106986, 43.6446575508583 34.6623158383354, 43.6439592828862 34.6619776622291, 43.6439214359321 34.6620344326602, 43.644312258592 34.662229065459, 43.6435423185704 34.6632324235812))"
"FAT32-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6444991295853 34.6629578887026, 43.6465248374684 34.6639877178499, 43.6467265254345 34.6637110227514, 43.6447012377663 34.662690815601, 43.6444991295853 34.6629578887026))"
"FAT34-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6429774659979 34.6614449148127, 43.6451947347975 34.6625266514211, 43.6453172435258 34.6625864196262, 43.6453842795046 34.6624868514813, 43.6452664898233 34.6624206981254, 43.6453544272512 34.6622872841926, 43.6431358474424 34.6611964439302, 43.6429774659979 34.6614449148127))"
"FAT33-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.644282028749 34.6628488042629, 43.6444991295853 34.6629578887026, 43.6447012377663 34.662690815601, 43.6466059440095 34.6636451652908, 43.6467534566173 34.6634377186873, 43.6468014659275 34.6633547935152, 43.6446985336617 34.6623389687091, 43.644282028749 34.6628488042629))"
"FAT38-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6469408492643 34.6658704638411, 43.6496719774894 34.6672606010868, 43.6498988873265 34.6669173162937, 43.64718574043 34.6655263495307, 43.6469408492643 34.6658704638411))"
"FAT39-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6482842656122 34.66608953762, 43.6498988873265 34.6669173162937, 43.6496719774894 34.6672606010868, 43.6498437046812 34.667348009786, 43.6502989082299 34.666724903289, 43.6484431525176 34.6657971909133, 43.6482842656122 34.66608953762))"
"FAT47-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6441256103615 34.6597414814581, 43.6438627903944 34.660141433151, 43.6448340480596 34.6605956208781, 43.6456493709844 34.6594751617492, 43.6451010631478 34.659211405341, 43.6445920209275 34.6599904043305, 43.6441256103615 34.6597414814581))"
"FAT1-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6531593902555 34.6649071896725, 43.6534615206202 34.6650533364536, 43.6543418625359 34.6638641453023, 43.6545904888539 34.6635290007028, 43.6549799322678 34.6630424669744, 43.6546439475837 34.6628582173089, 43.653647396518 34.6642336479196, 43.6531593902555 34.6649071896725))"
"FAT36-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6454430065162 34.6624789268332, 43.6456142069106 34.6625755199019, 43.6457041321562 34.6624106569517, 43.6471226222683 34.6631722460735, 43.6473525599639 34.6628631739761, 43.6457426180479 34.6620594706889, 43.6454430065162 34.6624789268332))"
"FAT5-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6532501344746 34.6627340975169, 43.6536002138564 34.6629349456112, 43.6535475581328 34.6630083034142, 43.6538668617383 34.6631796359366, 43.6542586890773 34.6626501077561, 43.6535466671719 34.6622982140397, 43.6532501344746 34.6627340975169))"
"FAT2-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6533015705854 34.6640189140426, 43.6534375426662 34.6640970631331, 43.653647396518 34.6642336479196, 43.6546439475837 34.6628582173089, 43.6542949107968 34.6626668100387, 43.6533015705854 34.6640189140426))"
"FAT44-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6480144110864 34.6643521305585, 43.6501393391849 34.6654371341504, 43.6503524259576 34.665146861695, 43.6482041812394 34.6640848185171, 43.6480144110864 34.6643521305585))"
"FAT26-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.644894347531 34.6643898961965, 43.6450984129864 34.6640780759991, 43.6431118699237 34.6630839226728, 43.6428859410006 34.6633828047671, 43.644894347531 34.6643898961965))"
"FAT42-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6476001249624 34.6649344601992, 43.6497282910253 34.6660119523661, 43.6497783760706 34.6660338491149, 43.6495725882574 34.666308229273, 43.6498464819625 34.6664491869614, 43.6504408028473 34.6656437132207, 43.6501611125665 34.6654879385689, 43.6499763754622 34.6657606403088, 43.6499075322491 34.6657505394915, 43.6477870780405 34.6646664422135, 43.6476001249624 34.6649344601992))"
"FAT43-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6478130554734 34.6646357619889, 43.6499311668902 34.6657207119735, 43.6501393391849 34.6654371341504, 43.6480144110864 34.6643521305585, 43.6478130554734 34.6646357619889))"
